"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Andaman And Nicobar Islands","Kharif","0.06","0.05","0.05","0.04","","0.13","0.11","0.10","0.09","","2133.00","2107.00","2100.00","2060.00",""
"Rice","Andaman And Nicobar Islands","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Andaman And Nicobar Islands","Total","0.06","0.05","0.05","0.04","","0.13","0.11","0.10","0.09","","2133.00","2107.00","2100.00","2060.00",""
"Rice","Andhra Pradesh","Kharif","15.08","14.52","13.47","14.04","17.35","43.26","49.86","46.95","50.31","62.81","2869.00","3434.00","3485.00","3583.00","3620.00"
"Rice","Andhra Pradesh","Rabi","7.81","6.77","5.73","6.73","7.00","34.37","29.56","26.46","31.29","32.54","4401.00","4366.00","4616.00","4649.00","4649.00"
"Rice","Andhra Pradesh","Total","22.89","21.29","19.21","20.77","24.35","77.64","79.42","73.42","81.59","95.35","3392.00","3730.00","3822.00","3928.00","3916.00"
"Rice","Arunachal Pradesh","Kharif","1.36","1.36","1.37","1.37","","2.51","2.53","2.54","2.55","","1852.00","1857.00","1858.00","1859.00",""
"Rice","Arunachal Pradesh","Rabi","0.01","0.01","0.01","0.00","","0.01","0.01","0.01","0.00","","1343.00","1345.00","1347.00","449.00",""
"Rice","Arunachal Pradesh","Total","1.36","1.37","1.37","1.38","","2.52","2.54","2.55","2.56","","1849.00","1854.00","1856.00","1856.00",""
"Rice","Assam","Kharif","19.83","19.43","19.18","18.21","18.83","35.38","45.18","43.74","37.60","41.99","1784.00","2326.00","2281.00","2065.00","2230.00"
"Rice","Assam","Rabi","3.70","","","","","8.44","","","","","2281.00","","","",""
"Rice","Assam","Summer","","3.75","3.78","3.82","","","11.06","11.64","11.42","","","2949.00","3080.00","2986.00",""
"Rice","Assam","Total","23.53","23.18","22.96","22.03","18.83","43.82","56.24","55.39","49.01","41.99","1862.00","2426.00","2413.00","2225.00","2230.00"
"Rice","Bihar","Kharif","30.37","28.09","30.50","31.84","32.17","75.72","68.73","77.29","81.42","85.41","2493.00","2447.00","2534.00","2557.00","2655.00"
"Rice","Bihar","Rabi","0.54","","","","","1.45","","","","","2682.00","","","",""
"Rice","Bihar","Summer","","0.54","0.60","0.58","","","1.50","1.73","1.60","","","2778.00","2888.00","2769.00",""
"Rice","Bihar","Total","30.91","28.63","31.10","32.42","32.17","77.17","70.23","79.02","83.02","85.41","2496.00","2453.00","2541.00","2561.00","2655.00"
"Rice","Chandigarh","Kharif","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","5500.00","3950.00","4979.00","3667.00",""
"Rice","Chandigarh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Chandigarh","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","5500.00","3950.00","4979.00","3667.00",""
"Rice","Chhattisgarh","Kharif","37.59","37.71","38.22","39.05","36.98","80.22","98.12","97.03","103.68","86.65","2134.00","2602.00","2539.00","2655.00","2343.00"
"Rice","Chhattisgarh","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Chhattisgarh","Total","37.59","37.71","38.22","39.05","36.98","80.22","98.12","97.03","103.68","86.65","2134.00","2602.00","2539.00","2655.00","2343.00"
"Rice","Dadra And Nagar Haveli","Kharif","0.16","0.17","0.17","0.16","","0.33","0.36","0.36","0.33","","2069.00","2073.00","2068.00","2068.00",""
"Rice","Dadra And Nagar Haveli","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Dadra And Nagar Haveli","Total","0.16","0.17","0.17","0.16","","0.33","0.36","0.36","0.33","","2069.00","2073.00","2068.00","2068.00",""
"Rice","Daman And Diu","Kharif","0.01","","","","","0.03","","","","","1936.00","","","",""
"Rice","Daman And Diu","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Daman And Diu","Total","0.01","","","","","0.03","","","","","1936.00","","","",""
"Rice","Delhi","Kharif","0.06","0.06","0.06","0.05","","0.19","0.17","0.17","0.15","","3106.00","3067.00","3067.00","2800.00",""
"Rice","Delhi","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Delhi","Total","0.06","0.06","0.06","0.05","","0.19","0.17","0.17","0.15","","3106.00","3067.00","3067.00","2800.00",""
"Rice","Goa","Kharif","0.23","0.23","0.23","0.24","","0.66","0.63","0.68","0.52","","2816.00","2789.00","2890.00","2171.00",""
"Rice","Goa","Rabi","0.09","0.09","0.09","0.09","","0.25","0.25","0.27","0.25","","2742.00","2842.00","2983.00","2832.00",""
"Rice","Goa","Total","0.32","0.32","0.32","0.33","","0.90","0.88","0.95","0.77","","2795.00","2804.00","2916.00","2348.00",""
"Rice","Gujarat","Kharif","8.18","8.68","8.73","8.86","9.05","18.85","21.66","21.38","20.94","15.64","2304.00","2496.00","2449.00","2362.00","1728.00"
"Rice","Gujarat","Rabi","0.74","","","","","2.16","","","","","2924.00","","","",""
"Rice","Gujarat","Summer","","0.79","0.95","1.28","","","2.30","2.69","3.51","","","2899.00","2816.00","2738.00",""
"Rice","Gujarat","Total","8.92","9.47","9.69","10.14","9.05","21.01","23.96","24.07","24.45","15.64","2355.00","2530.00","2485.00","2410.00","1728.00"
"Rice","Haryana","Kharif","12.81","15.20","15.63","16.09","17.26","46.18","51.09","59.76","60.60","62.42","3605.00","3362.00","3822.00","3766.00","3616.00"
"Rice","Haryana","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Haryana","Total","12.81","15.20","15.63","16.09","17.26","46.18","51.09","59.76","60.60","62.42","3605.00","3362.00","3822.00","3766.00","3616.00"
"Rice","Himachal Pradesh","Kharif","0.66","0.67","0.70","0.68","0.65","1.68","1.31","1.73","1.42","1.18","2532.00","1942.00","2474.00","2080.00","1832.00"
"Rice","Himachal Pradesh","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Himachal Pradesh","Total","0.66","0.67","0.70","0.68","0.65","1.68","1.31","1.73","1.42","1.18","2532.00","1942.00","2474.00","2080.00","1832.00"
"Rice","Jammu And Kashmir","Kharif","2.69","2.74","2.58","2.58","","4.93","6.04","6.41","6.41","","1834.00","2202.00","2482.00","2482.00",""
"Rice","Jammu And Kashmir","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Jammu And Kashmir","Total","2.69","2.74","2.58","2.58","","4.93","6.04","6.41","6.41","","1834.00","2202.00","2482.00","2482.00",""
"Rice","Jharkhand","Kharif","14.45","8.55","11.00","14.69","17.06","29.30","14.94","15.16","27.83","33.09","2028.00","1747.00","1378.00","1894.00","1939.00"
"Rice","Jharkhand","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Jharkhand","Total","14.45","8.55","11.00","14.69","17.06","29.30","14.94","15.16","27.83","33.09","2028.00","1747.00","1378.00","1894.00","1939.00"
"Rice","Karnataka","Kharif","10.08","9.46","8.49","8.86","8.95","31.22","31.63","28.23","30.08","29.54","3097.00","3344.00","3325.00","3395.00","3300.00"
"Rice","Karnataka","Rabi","3.90","0.92","0.43","0.41","0.34","11.97","2.42","1.16","1.17","0.93","3069.00","2633.00","2694.00","2842.00","2744.00"
"Rice","Karnataka","Summer","","2.90","0.61","2.54","","","8.74","1.89","8.24","","","3016.00","3093.00","3245.00",""
"Rice","Karnataka","Total","13.98","13.28","9.53","11.81","9.29","43.18","42.80","31.27","39.49","30.47","3089.00","3223.00","3282.00","3344.00","3280.00"
"Rice","Kerala","Kharif","1.50","0.50","0.45","0.41","0.37","3.42","1.37","1.16","1.10","1.06","2274.00","2716.00","2593.00","2651.00","2896.00"
"Rice","Kerala","Rabi","0.45","0.71","0.72","0.69","0.77","1.45","2.25","1.95","2.09","2.33","3195.00","3149.00","2711.00","3045.00","3045.00"
"Rice","Kerala","Summer","","0.70","0.63","0.66","","","2.34","1.86","1.97","","","3350.00","2941.00","2966.00",""
"Rice","Kerala","Total","1.96","1.92","1.80","1.77","1.13","4.87","5.96","4.98","5.16","3.39","2488.00","3108.00","2762.00","2923.00","2997.00"
"Rice","Ladakh","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Ladakh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Ladakh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Lakshadweep","Kharif","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Lakshadweep","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Lakshadweep","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Rice","Madhya Pradesh","Kharif","21.09","34.14","34.40","38.30","42.10","48.15","70.22","71.11","89.45","99.81","2283.00","2057.00","2067.00","2336.00","2371.00"
"Rice","Madhya Pradesh","Rabi","0.00","","","0.53","","0.00","","","1.58","","0.00","","","2974.00",""
"Rice","Madhya Pradesh","Summer","","","0.40","0.02","","","","1.29","0.06","","","","3215.00","3140.00",""
"Rice","Madhya Pradesh","Total","21.09","34.14","34.80","38.85","42.10","48.15","70.22","72.40","91.09","99.81","2283.00","2057.00","2080.00","2345.00","2371.00"
"Rice","Maharashtra","Kharif","15.49","15.55","15.25","15.21","15.19","32.95","34.54","34.63","34.30","29.95","2127.00","2221.00","2270.00","2255.00","1972.00"
"Rice","Maharashtra","Rabi","1.03","","","","","3.03","","","","","2954.00","","","",""
"Rice","Maharashtra","Summer","","1.63","1.68","1.61","","","4.45","4.37","4.37","","","2732.00","2611.00","2716.00",""
"Rice","Maharashtra","Total","16.52","17.18","16.93","16.82","15.19","35.98","38.99","39.00","38.67","29.95","2178.00","2269.00","2304.00","2299.00","1972.00"
"Rice","Manipur","Kharif","0.05","0.06","0.06","1.55","","0.15","0.18","0.17","3.62","","3008.00","3091.00","2970.00","2340.00",""
"Rice","Manipur","Rabi","1.95","","","","","5.52","","","","","2832.00","","","",""
"Rice","Manipur","Summer","","1.81","1.65","0.15","","","3.31","3.31","0.56","","","1835.00","2010.00","3780.00",""
"Rice","Manipur","Total","2.00","1.86","1.70","1.69","","5.67","3.49","3.48","4.17","","2836.00","1874.00","2042.00","2465.00",""
"Rice","Meghalaya","Kharif","0.95","0.95","0.95","0.95","","2.34","2.22","2.08","2.22","","2469.00","2333.00","2180.00","2333.00",""
"Rice","Meghalaya","Rabi","0.14","0.12","0.12","0.12","","0.63","0.57","0.57","0.57","","4626.00","4566.00","4566.00","4566.00",""
"Rice","Meghalaya","Total","1.08","1.08","1.08","1.08","","2.97","2.79","2.65","2.79","","2741.00","2591.00","2456.00","2592.00",""
"Rice","Mizoram","Kharif","0.34","0.34","0.24","0.20","","0.60","0.39","0.39","0.35","","1740.00","1149.00","1600.00","1705.00",""
"Rice","Mizoram","Rabi","0.00","0.01","0.01","0.00","","0.01","0.01","0.01","0.00","","2008.00","1320.00","2080.00","2074.00",""
"Rice","Mizoram","Total","0.35","0.34","0.25","0.21","","0.61","0.39","0.40","0.35","","1744.00","1151.00","1610.00","1709.00",""
